time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,1.0,1.0,3.0,3.0
2024-11-01 00:00:00+00:00,,,2.0,1.0
2024-11-03 00:00:00+00:00,1.0,1.0,,
2024-11-04 00:00:00+00:00,2.0,2.0,12.0,3.0
2024-11-05 00:00:00+00:00,,,11.0,8.0
2024-11-06 00:00:00+00:00,3.0,1.0,6.0,4.0
2024-11-07 00:00:00+00:00,1.0,1.0,7.0,5.0
2024-11-08 00:00:00+00:00,4.0,1.0,16.0,8.0
2024-11-09 00:00:00+00:00,4.0,1.0,,
2024-11-10 00:00:00+00:00,,,5.0,1.0
2024-11-11 00:00:00+00:00,,,8.0,5.0
2024-11-12 00:00:00+00:00,4.0,1.0,15.0,6.0
2024-11-13 00:00:00+00:00,,,6.0,6.0
