time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-06 00:00:00+00:00,1.0,1.0,4,1
2023-10-07 00:00:00+00:00,9.0,2.0,2,2
2023-10-08 00:00:00+00:00,1.0,1.0,2,1
2023-10-09 00:00:00+00:00,2.0,2.0,3,1
2023-10-10 00:00:00+00:00,3.0,2.0,3,2
2023-10-11 00:00:00+00:00,1.0,1.0,2,2
2023-10-12 00:00:00+00:00,11.0,2.0,3,3
2023-10-13 00:00:00+00:00,1.0,1.0,5,4
2023-10-14 00:00:00+00:00,1.0,1.0,1,1
2023-10-15 00:00:00+00:00,8.0,2.0,1,1
2023-10-16 00:00:00+00:00,2.0,2.0,5,4
2023-10-17 00:00:00+00:00,1.0,1.0,4,2
2023-10-18 00:00:00+00:00,2.0,2.0,6,4
2023-10-19 00:00:00+00:00,,,19,2
