time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-23 00:00:00+00:00,2,2,6.0,3.0
2023-10-24 00:00:00+00:00,1,1,7.0,4.0
2023-10-25 00:00:00+00:00,1,1,13.0,5.0
2023-10-26 00:00:00+00:00,15,2,13.0,6.0
2023-10-27 00:00:00+00:00,1,1,6.0,4.0
2023-10-28 00:00:00+00:00,1,1,,
2023-10-29 00:00:00+00:00,1,1,,
2023-10-30 00:00:00+00:00,2,2,9.0,7.0
2023-10-31 00:00:00+00:00,1,1,10.0,4.0
2023-11-01 00:00:00+00:00,1,1,,
2023-11-02 00:00:00+00:00,1,1,3.0,3.0
2023-11-03 00:00:00+00:00,1,1,5.0,3.0
2023-11-04 00:00:00+00:00,1,1,7.0,2.0
2023-11-05 00:00:00+00:00,1,1,11.0,3.0
