time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-25 00:00:00+00:00,4,4,8.0,7.0
2025-11-26 00:00:00+00:00,3,3,6.0,5.0
2025-11-27 00:00:00+00:00,4,4,,
2025-11-28 00:00:00+00:00,2,2,2.0,2.0
2025-11-29 00:00:00+00:00,2,2,1.0,1.0
2025-11-30 00:00:00+00:00,4,4,,
2025-12-01 00:00:00+00:00,39,11,11.0,7.0
2025-12-02 00:00:00+00:00,28,8,48.0,4.0
2025-12-03 00:00:00+00:00,90,22,13.0,4.0
2025-12-04 00:00:00+00:00,3,3,2.0,2.0
2025-12-05 00:00:00+00:00,11,7,2.0,2.0
2025-12-06 00:00:00+00:00,8,4,3.0,2.0
2025-12-07 00:00:00+00:00,8,4,1.0,1.0
2025-12-08 00:00:00+00:00,1,1,6.0,6.0
