time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,14,5,4,4
2026-05-27 00:00:00+00:00,17,8,5,2
2026-05-28 00:00:00+00:00,15,6,0,0
2026-05-29 00:00:00+00:00,19,6,2,2
2026-05-30 00:00:00+00:00,14,5,3,2
2026-05-31 00:00:00+00:00,15,5,3,3
2026-06-01 00:00:00+00:00,8,3,5,3
2026-06-02 00:00:00+00:00,15,6,1,1
2026-06-03 00:00:00+00:00,16,7,0,0
2026-06-04 00:00:00+00:00,6,2,1,1
2026-06-05 00:00:00+00:00,1,1,6,4
2026-06-06 00:00:00+00:00,19,6,0,0
2026-06-07 00:00:00+00:00,17,8,1,1
2026-06-08 00:00:00+00:00,9,4,2,2
