time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,21,6,8,5
2026-06-20 00:00:00+00:00,38,10,2,1
2026-06-21 00:00:00+00:00,33,10,0,0
2026-06-22 00:00:00+00:00,28,10,8,4
2026-06-23 00:00:00+00:00,34,9,2,2
2026-06-24 00:00:00+00:00,25,5,1,1
2026-06-25 00:00:00+00:00,27,7,0,0
2026-06-26 00:00:00+00:00,14,5,5,5
2026-06-27 00:00:00+00:00,9,4,0,0
2026-06-28 00:00:00+00:00,14,5,1,1
2026-06-29 00:00:00+00:00,16,7,1,1
2026-06-30 00:00:00+00:00,20,7,6,4
2026-07-01 00:00:00+00:00,21,8,0,0
2026-07-02 00:00:00+00:00,19,6,6,3
