time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-28 00:00:00+00:00,1,1,1,1
2024-04-29 00:00:00+00:00,1,1,20,12
2024-04-30 00:00:00+00:00,1,1,19,9
2024-05-01 00:00:00+00:00,1,1,41,6
2024-05-02 00:00:00+00:00,1,1,4,3
2024-05-03 00:00:00+00:00,5,2,7,5
2024-05-04 00:00:00+00:00,1,1,5,2
2024-05-05 00:00:00+00:00,5,2,3,2
2024-05-06 00:00:00+00:00,2,2,6,4
2024-05-07 00:00:00+00:00,5,2,26,6
2024-05-08 00:00:00+00:00,5,2,10,3
2024-05-09 00:00:00+00:00,5,2,6,3
2024-05-10 00:00:00+00:00,5,2,9,5
