url_path,views_total,views_unique
/ErnakovichLab/dada2_ernakovichlab,56,32
/ErnakovichLab/dada2_ernakovichlab/tree/main/R,13,5
/ErnakovichLab/dada2_ernakovichlab/tree/main,13,4
/ErnakovichLab/dada2_ernakovichlab/activity,10,1
/ErnakovichLab/dada2_ernakovichlab/blob/main/README.md,8,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/R/00_setup_dada2_tutorial_16S.R,7,3
/ErnakovichLab/dada2_ernakovichlab/tree/main/dada2_tutorial_16S_all_files/figure-gfm,4,3
/ErnakovichLab/dada2_ernakovichlab/tree/main/.github/workflows,4,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/dada2_tutorial_16S_all.Rmd,3,2
/ErnakovichLab/dada2_ernakovichlab/blob/main/.github/workflows/github-repo-stats.yml,3,2
